work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,EN,FT,Data Scientist,137000,US,0,US,M
2024,EN,FT,Data Analyst,57737,US,100,US,M
2024,EN,FT,Data Engineer,177880,US,0,US,L
2024,EN,FT,Research Analyst,90000,US,0,US,M
2024,EN,FT,Consultant,118500,US,0,US,M
2024,EN,FT,Data Analyst,110400,US,100,US,M
2024,EN,FT,Data Analyst,112000,US,0,US,M
2024,EN,FT,Data Analyst,52500,US,0,US,M
2024,EN,FT,Machine Learning Engineer,145000,US,0,US,M
2024,EN,FT,Data Specialist,31000,US,100,US,M
2024,EN,FT,Data Analyst,170500,US,0,US,M
2024,EN,FT,Data Scientist,125500,US,0,US,M
2024,EN,FT,Data Analyst,85000,US,0,US,M
2024,EN,FT,Data Analyst,93500,US,100,US,M
2024,EN,FT,Data Analyst,90000,US,0,US,M
2024,EN,FT,Research Scientist,337250,US,0,US,M
2024,EN,FT,Data Reporting Analyst,50200,US,0,US,M
2024,EN,FT,Data Analyst,82000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,101080,US,0,US,M
2024,EN,FT,Software Engineer,139650,US,0,US,M
2024,EN,FT,Data Engineer,175100,US,0,US,M
2024,EN,FT,DevOps Engineer,129792,US,0,US,M
2024,EN,FT,Data Analyst,61560,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,140000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,67000,US,100,US,M
2024,EN,FT,Applied Scientist,174600,US,0,US,M
2024,EN,FT,Data Analyst,172000,US,0,US,M
2024,EN,FT,Data Analyst,80080,US,0,US,M
2024,EN,FT,Data Scientist,154000,US,100,US,M
2024,EN,FT,Analyst,114000,US,0,US,M
2024,EN,FT,Data Analyst,120700,US,100,US,M
2024,EN,FT,Data Analyst,110864,US,0,US,M
2024,EN,FT,Machine Learning Engineer,104500,US,0,US,M
2024,EN,FT,Business Analyst,65000,US,100,US,M
2024,EN,FT,Machine Learning Engineer,68405,US,100,US,M
2024,EN,FT,Software Developer,44000,US,0,US,M
2024,EN,FT,Data Analyst,132673,US,0,US,M
2024,EN,FT,Site Reliability Engineer,276000,US,0,US,M
2024,EN,FT,Data Analyst,59976,US,0,US,M
2024,EN,FT,Data Analyst,70000,US,0,US,M
2024,EN,FT,Data Scientist,44850,US,100,US,M
2024,EN,FT,Machine Learning Engineer,129960,US,0,US,M
2024,EN,FT,Software Engineer,144000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,63444,US,0,US,M
2024,EN,FT,Data Analyst,150200,US,0,US,M
2024,EN,FT,Software Engineer,39500,US,0,US,M
2024,EN,FT,Research Analyst,300000,US,0,US,M
2024,EN,FT,Data Analyst,98000,US,100,US,M
2024,EN,FT,Data Analyst,80000,US,0,US,M
2024,EN,FT,Data Analyst,92000,US,100,US,M
2024,EN,FT,Data Analyst,70000,US,100,US,M
2024,EN,FT,Machine Learning Engineer,137750,US,0,US,M
2024,EN,FT,Data Analyst,77000,US,0,US,M
2024,EN,FT,Data Reporting Analyst,59513,US,0,US,M
2024,EN,FT,Analyst,50000,US,0,US,M
2024,EN,FT,Data Scientist,135000,US,0,US,M
2024,EN,FT,Data Analyst,64600,US,0,US,M
2024,EN,FT,Data Scientist,86200,US,0,US,M
2024,EN,FT,Data Analyst,172000,US,0,US,M
2024,EN,FT,Research Scientist,81075,US,0,US,M
2024,EN,FT,Data Scientist,110000,US,0,US,M
2024,EN,FT,Business Analyst,120037,US,0,US,M
2024,EN,FT,Data Analyst,84000,US,0,US,M
2024,EN,FT,Business Intelligence Developer,145200,US,100,US,M
2024,EN,FT,Software Engineer,106590,US,0,US,M
2024,EN,FT,Product Manager,39500,US,0,US,M
2024,EN,FT,Machine Learning Engineer,237500,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,106400,US,0,US,M
2024,EN,FT,Data Scientist,175100,US,0,US,M
2024,EN,FT,Research Analyst,57000,US,100,US,M
2024,EN,FT,Engineer,264200,US,0,US,M
2024,EN,FT,Research Analyst,80000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,94350,US,0,US,M
2024,EN,FT,Data Analyst,150000,US,0,US,M
2024,EN,FT,Data Analyst,150000,US,100,US,M
2024,EN,FT,Data Analyst,90000,US,100,US,M
